date,consumer_insolvencies
2020-01-01,11029
2020-02-01,11251
2020-03-01,10947
2020-04-01,6700
2020-05-01,6111
2020-06-01,6349
2020-07-01,6585
2020-08-01,6464
2020-09-01,7658
2020-10-01,8135
2020-11-01,7919
2020-12-01,7310
2021-01-01,7086
2021-02-01,7514
2021-03-01,9224
2021-04-01,8004
2021-05-01,7437
2021-06-01,7448
2021-07-01,6604
2021-08-01,7012
2021-09-01,7497
2021-10-01,7419
2021-11-01,8102
2021-12-01,6745
2022-01-01,6566
2022-02-01,7392
2022-03-01,9195
2022-04-01,7954
2022-05-01,8425
2022-06-01,8907
2022-07-01,7822
2022-08-01,8882
2022-09-01,9156
2022-10-01,8814
2022-11-01,9423
2022-12-01,7648
2023-01-01,8735
2023-02-01,9222
2023-03-01,11768
2023-04-01,9616
2023-05-01,10961
2023-06-01,10647
2023-07-01,9482
2023-08-01,10459
2023-09-01,10530
2023-10-01,11091
2023-11-01,11682
2023-12-01,9040
2024-01-01,10788
2024-02-01,11542
2024-03-01,11555
2024-04-01,11791
2024-05-01,12195
2024-06-01,11096
2024-07-01,11748
2024-08-01,11388
2024-09-01,11452
2024-10-01,12723
2024-11-01,11725
2024-12-01,9292
2025-01-01,11196
2025-02-01,10903
2025-03-01,12126
2025-04-01,11646
2025-05-01,12004
2025-06-01,11464
2025-07-01,12285
2025-08-01,11303
2025-09-01,12668
2025-10-01,12662
2025-11-01,11548
2025-12-01,10652
2026-01-01,11408
2026-02-01,12307
2026-03-01,13406
